Sl.No.,State/UT,Proportion of men and women Reporting Asthma 15-49 years - Men,Proportion of men and women Reporting Asthma 15-49 years - Women,Percentage of Grade-II disability cases amongst new detected cases of Leprosy - 2015,Percentage of Grade-II disability cases amongst new detected cases of Leprosy - 2020 (Provisional),Percentage of population (15-24 years) with comprehensive knowledge of HIV/AIDS - Men,Percentage of population (15-24 years) with comprehensive knowledge of HIV/AIDS - Women,Prevalence of hypertension among men and women age 15-49 years  - Men,Prevalence of hypertension among men and women age 15-49 years  - Women,Percentage of men and women age 15-49 years with high Blood sugar level (>140 mg/dl) (%)    - Men,Percentage of men and women age 15-49 years with high Blood sugar level (>140 mg/dl) (%)    - Women
NA,India,1.2,1.9,4.6,2.39,31.5,21.7,11,14.8,8,5.8
1,Andhra Pradesh,1.6,3,6.64,2.75,63.2,36.2,12.5,17.5,9.8,8.2
2,Assam ,0.3,1.2,10.24,10.81,19.8,8.4,18,20.8,6.6,5.2
3,Bihar ,0.7,0.9,3.6,2.76,24.7,10,8.2,11,6.7,4.1
4,Chattisgarh ,1.4,1.8,7.24,3.41,35.3,22.3,10,13.2,9.7,5.7
5,Gujarat,0.4,0.9,2.71,0.98,31.5,20,11.4,14.3,7.6,5.8
6,Haryana,0.5,1,3.42,1.51,42.8,30.4,13.3,19.3,6.1,4.8
7,Jharkhand ,0.9,1.3,2.3,1.82,18.2,16.6,9.1,13.2,7.7,4.9
8,Karnataka,0.3,1.4,3.39,2.46,27.9,10,11.5,16.8,8.4,6.4
9,Kerala,0.5,1,7.32,7.7,46.3,41.8,9.2,11.5,13.1,8.7
10,Madhya Pradesh ,1.3,0.9,7.32,3.36,27.7,19.2,9.7,12.3,6.7,5.1
11,Maharashtra,1.4,0.7,2.53,1.56,41.7,31.7,11.5,17.7,5.9,5.1
12,Odisha ,0.7,1.5,5.83,1.98,32.6,21,11.9,13.8,10.8,7.3
13,Punjab,1,3.1,0.61,3.39,58.7,48.4,15.1,22.6,6.7,6
14,Rajasthan ,1.1,1.9,6.06,1.6,36.2,20.9,8.5,13.4,5.8,3.4
15,Tamil Nadu,1.2,1.9,4.45,2.52,10.3,18.1,11.5,17.6,9.7,7.1
16,Telangana,0.5,1.6,6.75,0.9,53.8,34.9,13.2,19.8,6,6.9
17,Uttar Pradesh ,0.7,3,3.89,1.02,24.9,18,9.2,11.1,7.1,4.9
18,West Bengal,1.2,1.8,4.61,1.05,25.9,20.2,12,12.9,11.4,7.4
19,Arunachal Pradesh,2.2,1.3,6.06,10,25.3,16.7,16.7,22.6,7.5,4.8
20,Delhi,2.2,2.5,14.02,14.04,25.8,30.9,9,5.7,10,7.6
21,Goa,0.5,1.3,0,1.27,35.7,34.3,11.6,14.9,12.3,8.9
22,Himachal Pradesh,0.7,0.9,12.96,9.22,43.4,28,14.4,23.4,6.8,5.9
23,Jammu & Kashmir,0.9,1,5.29,0.95,23.8,20,16.1,15.4,6.3,5.7
24,Manipur,3,3.6,5.26,19.05,57.5,38,12.6,21.2,9.3,7.6
25,Meghalaya,1.5,3.5,30.3,64.71,14.2,12.7,14.2,12.9,6.5,4.2
26,Mizoram,0.4,3.5,0,0,65.5,63.2,12.2,18.5,10.3,8.6
27,Nagaland,1,1.2,19.4,2.78,21.6,11.6,16.8,23.6,9.8,7.2
28,Sikkim,0.8,1,9.52,0,36.6,28.9,18.4,30.9,8.9,6.7
29,Tripura,1.8,3.3,23.81,58.67,33,26.8,15.6,16.1,9.6,7.7
30,Uttarakhand ,0.9,4.5,1.31,0,32.2,31.1,12,18.3,8.8,6.2
31,Andaman & Nicobar Islands,0,1.4,10.34,0,39.7,36.2,11.6,29.9,16.5,9.3
32,Chandigarh,0.5,1.6,2.21,4.48,54.5,30.4,11,14.4,6.9,5.6
33,Dadra & Nagar Haveli,0.1,0.8,1.88,0,15.1,6.5,9.5,12.5,8.7,4.7
34,Daman & Diu,0.2,1.4,0,3.45,7.2,21.1,10.2,11.3,8.8,5.5
35,Lakshadweep,1.2,3.1,0,0,14.6,20.2,14.2,10.8,13.3,12
36,Puducherry,2.8,2.2,7.14,14.29,17.6,25.3,12.2,17.2,7.5,7.3
